"corpus","preloaded/detenten20_rft3"
"subcorpus","-"
"concordance size","1749"
"query","Query:[lc=""kiezdeutsch"" | lemma_lc=""kiezdeutsch"" | ascii=""kiezdeutsch""]"
"Reference","Left","KWIC","Right"
"docplayer.org,http://docplayer.org/40936649-Migration-und-sprachwandel.html,Migration und Sprachwandel - PDF Kostenfreier Download,2020-06-08 17:36,2020,doc#91059,#57643355","und Gesellschaft Kiezdeutsch ein neuer Dialekt des Deutschen Heike Wiese Etwa seit Mitte der 90er Jahre ist mit","Kiezdeutsch","eine Jugendsprache </s><s> I. Einleitung 1 I.1 Zur Themenstellung 1 I.2 Zum Stand der Forschung und der Fragestellung der"
"docplayer.org,http://docplayer.org/40936649-Migration-und-sprachwandel.html,Migration und Sprachwandel - PDF Kostenfreier Download,2020-06-08 17:36,2020,doc#91059,#57643476","und häufig gehörte Antworten M 3 (Tx) Sprache als </s><s> Thema der Präsentation: Ich frag mein Schwester - Althochdeutsch und","Kiezdeutsch","zur Vermittlung von Sprachwandel im Deutschunterricht Institut für deutsche Sprache und Literatur 1 Kurs:"
"docplayer.org,http://docplayer.org/40936649-Migration-und-sprachwandel.html,Migration und Sprachwandel - PDF Kostenfreier Download,2020-06-08 17:36,2020,doc#91059,#57643696","bei </s><s> Aus- und Fortbildungsmodule zur Sprachvariation im urbanen Raum deutsch- Sprachforschung Seite 1","Kiezdeutsch","Alltagssprache, die unter Jugendlichen im mehrsprachigen Kiez gesprochen wird ( Kiez : Bezeichnung </s><s> Konferenz"
"uni-potsdam.de,https://www.uni-potsdam.de/de/dspdg/info/praktika.html,Praktika und Ausschreibungen - Professur Deutsche Sprache der Gegenwart - Universität Potsdam,2020-06-08 17:57,2020,doc#109288,#68525205","Lehrstuhl Praktika für Studierende unterschiedlicher Studiengänge zu Themen Rund um Sprachwissenschaft an, z.B.","Kiezdeutsch",", Sprachverarbeitung, Korpora u.v.m. Bei Interesse schicken Sie uns einfach eine kurze Email! </s><s> Eiche bei Melsungen </s>"
"nachrichtenbrett.de,http://nachrichtenbrett.de/Forum/showthread.php?postid=37490,Forum - Andere Sprachen,2020-06-08 18:31,2020,doc#128695,#80179328","ins Deutsche übersetzt, ein derber Ausdruck für das Gesäß... </s><s> Wahrscheinlich ist es lediglich einigen eingeweihten ""","Kiezdeutsch","""-Kennern bewußt, daß auch der Kassenschlager ""Fack ju Göhte"" in seinem Titel ein Wortspiel mit ""Goethe"" und ""göt"""
"nachrichtenbrett.de,http://nachrichtenbrett.de/Forum/showthread.php?postid=38515,Forum - Sprache,2020-06-08 21:43,2020,doc#243423,#145644080","dpa. Die Professorin für Deutsche Sprache der Gegenwart an der Universität Potsdam erforscht in Berlin","Kiezdeutsch","als neuen deutschen Dialekt, der sich unter Jugendlichen in multiethnischen Wohngebieten entwickelt hat..."
"nachrichtenbrett.de,http://nachrichtenbrett.de/Forum/showthread.php?postid=38515,Forum - Sprache,2020-06-08 21:43,2020,doc#243423,#145645466","in denen auch so manche Situation eskalierte... hpd.de 21.11.2012 </s><s> Die Sprachforscherin Heike Wiese behauptet, ""","Kiezdeutsch",""" sei genauso ein Dialekt wie Bairisch und Schwäbisch und betreibt damit Etikettenschwindel: Ein Dialekt ist eine"
"nachrichtenbrett.de,http://nachrichtenbrett.de/Forum/showthread.php?postid=38515,Forum - Sprache,2020-06-08 21:43,2020,doc#243423,#145645582",", enthält sogar noch Spuren des indogermanischen Duals. </s><s> Das von Heike Wiese zum deutschen Dialekt erklärte ""","Kiezdeutsch",""" ist jedoch eine Pidgin-Sprache mit Rudimentär-Grammatik und beschränkten Ausdrucksmöglichkeiten, deren Typ"
"nachrichtenbrett.de,http://nachrichtenbrett.de/Forum/showthread.php?postid=38515,Forum - Sprache,2020-06-08 21:43,2020,doc#243423,#145645795","Herz legen will – mit hämischer Freude gefördert von ""linksgrün"" bis ""Spiegel"": Der Kiezdeutsch-Test Wie gut ist Ihr","Kiezdeutsch","? </s><s> Sprachbewahrer kämpfen verbissen gegen Kiezdeutsch. </s><s> Der Schulhof-Slang verhunzt unsere Sprache, meinen sie. </s>"
"nachrichtenbrett.de,http://nachrichtenbrett.de/Forum/showthread.php?postid=38515,Forum - Sprache,2020-06-08 21:43,2020,doc#243423,#145645801",""" bis ""Spiegel"": Der Kiezdeutsch-Test Wie gut ist Ihr Kiezdeutsch? </s><s> Sprachbewahrer kämpfen verbissen gegen","Kiezdeutsch",". </s><s> Der Schulhof-Slang verhunzt unsere Sprache, meinen sie. </s><s> Alles Quatsch, sagt hingegen die Sprachforscherin Heike"
"nachrichtenbrett.de,http://nachrichtenbrett.de/Forum/showthread.php?postid=38515,Forum - Sprache,2020-06-08 21:43,2020,doc#243423,#145645823","verhunzt unsere Sprache, meinen sie. </s><s> Alles Quatsch, sagt hingegen die Sprachforscherin Heike Wiese. </s><s> Denn","Kiezdeutsch","sei genauso ein Dialekt wie Bayerisch und Schwäbisch. </s><s> Könnten Sie auf dem Schulhof mithalten? • Zehn Fragen zum"
"nachrichtenbrett.de,http://nachrichtenbrett.de/Forum/showthread.php?postid=38515,Forum - Sprache,2020-06-08 21:43,2020,doc#243423,#145645899",", der eine Lüge über ihn verbreitet hat. </s><s> Der kann das nicht glauben. </s><s> Martin bestätigt: • Wallah – das hat er gesagt! </s><s> In","Kiezdeutsch","ist wallah (aus arabisch bei Allah) ein neues Fremdwort, das eine ähnliche Bedeutung hat wie das jugendsprachliche"
"nachrichtenbrett.de,http://nachrichtenbrett.de/Forum/showthread.php?postid=38515,Forum - Sprache,2020-06-08 21:43,2020,doc#243423,#145645984","und will noch in ein Schuhgeschäft gehen. </s><s> Sie erklärt: • Ich such so schwarze Sneakers. ... die Partikel so kann in","Kiezdeutsch","(und auch in anderen Varianten der deutschen Umgangssprache) als Fokusmarker verwendet werden, das heißt, sie"
"nachrichtenbrett.de,http://nachrichtenbrett.de/Forum/showthread.php?postid=38515,Forum - Sprache,2020-06-08 21:43,2020,doc#243423,#145646082","will und deshalb fragt, wo sie noch hingehen. </s><s> Sie antworten: • Wir gehen nachher noch Görlitzer Park. ... In","Kiezdeutsch","können Orts- und Zeitangaben als bloße Nominalphrasen, ohne Präposition und Artikel, stehen (Görlitzer Park statt"
"nachrichtenbrett.de,http://nachrichtenbrett.de/Forum/showthread.php?postid=38515,Forum - Sprache,2020-06-08 21:43,2020,doc#243423,#145646162","Mehmet seinen Kumpel vorbeilaufen und will ihn zu sich rufen, um mit ihm zu reden. </s><s> Er ruft: • Ey, komm mal her, lan! ... in","Kiezdeutsch","ist lan (aus türkisch Mann / Typ) ein neues Fremdwort, das so ähnlich gebraucht wird wie das jugendsprachliche Alter,"
"nachrichtenbrett.de,http://nachrichtenbrett.de/Forum/showthread.php?postid=38515,Forum - Sprache,2020-06-08 21:43,2020,doc#243423,#145646285","haben und überlegen, wo die Kasse ist. </s><s> Lena hat schon eine Karte gekauft und sagt: • Ich weiß, wo die Karten gibs. ... in","Kiezdeutsch","kann man die Form gibs (aus gibts) als Existenzpartikel verwenden, das heißt, als festen Ausdruck, der anzeigt, dass"
"nachrichtenbrett.de,http://nachrichtenbrett.de/Forum/showthread.php?postid=38515,Forum - Sprache,2020-06-08 21:43,2020,doc#243423,#145646379","im Wohnzimmer gesehen, aber dort ist sie nicht mehr. </s><s> Er sagt: • Die lag eben noch auf dem kleinen Tisch. </s><s> Wirklich! ...","Kiezdeutsch","verwenden Jugendliche, wenn sie untereinander sind, aber nicht gegenüber Außenstehenden wie zum Beispiel ihren"
"nachrichtenbrett.de,http://nachrichtenbrett.de/Forum/showthread.php?postid=38515,Forum - Sprache,2020-06-08 21:43,2020,doc#243423,#145646463","<s> Sie beschließen, zuerst in einen CD-Laden zu gehen. </s><s> Einer von beiden sagt: • Danach ich will noch ''ne Hose kaufen. ... In","Kiezdeutsch","können am Satzanfang noch Adverbiale des Ortes oder der Zeit (danach) vor dem Subjekt (ich) stehen. </s><s> Für Objekte (""ne"
"nachrichtenbrett.de,http://nachrichtenbrett.de/Forum/showthread.php?postid=38515,Forum - Sprache,2020-06-08 21:43,2020,doc#243423,#145646548","Deutschen wird das Wort ein meist stark verkürzt. </s><s> So wird aus Hast du ein Handy normalerweise Hast du''n Handy? </s><s>","Kiezdeutsch","geht oft noch einen Schritt weiter und lässt auch das n noch weg. Frage 9 von 10 Mehmet und Sarah fahren mit dem Bus, sie"
"nachrichtenbrett.de,http://nachrichtenbrett.de/Forum/showthread.php?postid=38515,Forum - Sprache,2020-06-08 21:43,2020,doc#243423,#145646614","neue Funktionswörter, die aus lass uns mal und musst du entstanden sind. </s><s> Beide Ausdrücke treten auch außerhalb von","Kiezdeutsch","in der gesprochenen Sprache häufig auf. </s><s> In diesem Fall passt Lassma Moritzplatz aussteigen besser, weil es die"
"nachrichtenbrett.de,http://nachrichtenbrett.de/Forum/showthread.php?postid=38515,Forum - Sprache,2020-06-08 21:43,2020,doc#243423,#145646746","eine Handlung, sein einen Zustand. </s><s> Im Standarddeutschen gibt es ein festes Inventar von Funktionsverbgefügen, in","Kiezdeutsch","kommen neue hinzu, zum Beispiel Streit machen. </s><s> Die Kombination mit machen zeigt hier eine Handlung an; mit sein ginge"
"saratempel.de,http://saratempel.de/?page_id=20682,Autorin Sara Tempel &gt; Ihr historischer Roman: &lt; Die Kinder der Kalliste » Reaktion,2020-06-08 23:56,2020,doc#316045,#186648049",", bedeutet den Selbstmord einer großen Kultur. </s><s> Die Sprache der Dichter und Denker verkümmert in diesem Umfeld zu","Kiezdeutsch",".– (""Professorin"" Heike Wiese verteidigt den Jugendslang Kiezdeutsch... welche Dummheit!) Man müsste jeder"
"saratempel.de,http://saratempel.de/?page_id=20682,Autorin Sara Tempel &gt; Ihr historischer Roman: &lt; Die Kinder der Kalliste » Reaktion,2020-06-08 23:56,2020,doc#316045,#186648061","und Denker verkümmert in diesem Umfeld zu Kiezdeutsch.– (""Professorin"" Heike Wiese verteidigt den Jugendslang","Kiezdeutsch","... welche Dummheit!) Man müsste jeder Professorin, die ein solches Kauderwelsch schön redet, wegen Inkompetenz die"
"fds-sprachforschung.de,http://www.fds-sprachforschung.de/?show=news_inv&id=688,Schrift & Rede, hrsg. von der Forschungsgruppe Deutsche Sprache e.V. (FDS),2020-06-09 02:24,2020,doc#389115,#227771004","hier genannt werden, sind oft Dialekte oder, in letzter Zeit, häufig bestimmte Formen von Jugendsprache, wie z.B. das","Kiezdeutsch",". </s><s> Wenn diese sprachlichen Varianten gesprochen werden stehe, so die Befürchtung, ein Verfall der deutschen Sprache"
"koerber-stiftung.de,https://www.koerber-stiftung.de/mediathek/verstehste-197?type=98,,2020-06-09 13:34,2020,doc#664302,#380876485","dem Wort und der Welt, wie die Sprachkritik von jeher mutmaßt? </s><s> Über Sprachwandel und -bewahrung, über Kunst und","Kiezdeutsch","spricht Christoph Bungartz, NDR Fernsehen, mit seinen Gästen: mit dem Lyriker und Spoken-Word-Perfomer Bas"
"koerber-stiftung.de,https://www.koerber-stiftung.de/mediathek/verstehste-197?type=98,,2020-06-09 13:34,2020,doc#664302,#380876526","für Deutsche Sprache in Mannheim und mit der Sprachwissenschaftlerin Heike Wiese, deren Forschungen über das","Kiezdeutsch","als neuem Dialekt für Furore gesorgt haben. </s><s> Für die Preisermittlung sind individuelle Informationen und weitere"
"alternativ-grammatik.de,http://www.alternativ-grammatik.de/index.php?title=4.07_Orientierung_in_Raum_und_Zeit&oldid=13744,4.07 Orientierung in Raum und Zeit – Alternativ-Grammatik,2020-06-09 15:37,2020,doc#706121,#403144694","ansteht, nimmt man noch die nächste Ziffer, 4.08 ""Modalitäten"", hinzu, vgl. [2] samt Unterkapiteln. </s><s> 0.2 ""","Kiezdeutsch",""", ""Gettosprache"", ""Ethnolekt"" </s><s> Wo Migranten und Einheimische besonders stark zusammentreffen, entwickelt sich -"
"uni-oldenburg.de,https://ome-lexikon.uni-oldenburg.de/begriffe/dialekt,Dialekt,2020-06-09 15:55,2020,doc#715775,#408520362","hinweisen (selbst bei Sprechern, die Deutsch im deutschen Sprachraum als Zweitsprache erlernt haben, vgl. ""","Kiezdeutsch","""; diese Besonderheit des Deutschen macht sich auch die forensische Linguistik zunutze); frei von arealen Merkmalen"
"redaktionzukunft.de,http://www.redaktionzukunft.de/revolution-der-deutschen-sprache,Revolution der deutschen Sprache | Redaktion Zukunft,2020-06-09 20:22,2020,doc#790337,#447412968",". </s><s> Die nächste Tage werd ich Sie dann wohl langsam aber sicher in eine Heimchenbox umsiedeln können Schön zu sehe... </s><s>","Kiezdeutsch","</s><s> Revolution der deutschen Sprache </s><s> ""Wir können alles, außer Hochdeutsch"", lautet das Motto der Schwaben. </s><s> Der"
"redaktionzukunft.de,http://www.redaktionzukunft.de/revolution-der-deutschen-sprache,Revolution der deutschen Sprache | Redaktion Zukunft,2020-06-09 20:22,2020,doc#790337,#447413111","mit einer Portion Selbstbewusstsein. </s><s> Was der Rapper als ""Türkenslang"" betitelt, wird in der Sprachforschung als","Kiezdeutsch","bezeichnet. </s><s> Gemeint ist damit eine sprachliche Variation der deutschen Sprache, die sich unter Jugendlichen in"
"redaktionzukunft.de,http://www.redaktionzukunft.de/revolution-der-deutschen-sprache,Revolution der deutschen Sprache | Redaktion Zukunft,2020-06-09 20:22,2020,doc#790337,#447413207","Dialekt an: ""Die wirklich große Überraschung, die ich bei meiner Forschung hatte, war, wie sprachlich unexotisch","Kiezdeutsch","ist und wie urdeutsch sich dieser Dialekt auf grammatikalischer Ebene generiert"". </s><s> Was für manche als willkürliche"
"redaktionzukunft.de,http://www.redaktionzukunft.de/revolution-der-deutschen-sprache,Revolution der deutschen Sprache | Redaktion Zukunft,2020-06-09 20:22,2020,doc#790337,#447413242","Wörter erscheinen mag, zeige laut Wiese klare sprachliche Strukturen auf. </s><s> Charakterisierend für","Kiezdeutsch","ist die sprachliche Vereinfachung. </s><s> Auf der Straße jonglieren Jugendliche mit Sätzen wie ""Lassma'' Bahnhof chilln'',"
"redaktionzukunft.de,http://www.redaktionzukunft.de/revolution-der-deutschen-sprache,Revolution der deutschen Sprache | Redaktion Zukunft,2020-06-09 20:22,2020,doc#790337,#447413585","einer Generation, korrektes Hochdeutsch zu sprechen, beschweren sich Verteidiger der hochdeutschen Sprache. </s><s>","Kiezdeutsch","als sprachliche Innovation? – Lächerlich. </s><s> Klare grammatikalische Strukturen? – Nicht vorhanden. </s><s> Was manche als"
"redaktionzukunft.de,http://www.redaktionzukunft.de/revolution-der-deutschen-sprache,Revolution der deutschen Sprache | Redaktion Zukunft,2020-06-09 20:22,2020,doc#790337,#447413741","oder Türkenslang. </s><s> Ich mach'' mehr für die Völkerverständigung als ihr"", rappt Eko Fresh und bringt die Diskussion über","Kiezdeutsch","zurück auf den Boden der Tatsachen. </s><s> Denn was schnell in den Argumenten untergeht, ist das, was die Nation bereichert:"
"vaybee.de,http://www.vaybee.de/forum/showpost.php?s=446c6828540721897141d7caa519327e&p=2128193&postcount=1,Vaybee! Forum - Einzelnen Beitrag anzeigen - Kizdeutsch,2020-06-09 22:02,2020,doc#817710,#461406457","hab ich noch ein Problem mit der Deklaration vom Iterator und google hilft mir auch nicht wirklich weiter :/ </s><s> Wer spricht","Kiezdeutsch","heutzutage in Deutschland? </s><s> Und wenn man nicht weißt, was KD ist, dann führe ich ein paar Beispiele an. z.B.:1) Ich weiß"
"uni-kiel.de,https://www.uni-kiel.de/pressemeldungen/index.php?pmid=2015-115-sprache-migration,Uni Kiel | Sprachwandel mit Migrationshintergrund,2020-06-10 00:09,2020,doc#850321,#478047177","Parallelgesellschaften oder sind sie durch ihre Mehrsprachigkeit sprachlich besonders kompetent? </s><s> Sind ""","Kiezdeutsch",""" oder das norwegische ""Kebabnorsk"" defizitäre Sprachformen oder eine Bereicherung für die jeweiligen"
"nachrichtenbrett.de,http://nachrichtenbrett.de/Forum/showthread.php?postid=42435,Forum - Verantwortungslose Politiker,2020-06-10 10:37,2020,doc#1035140,#574743268",". </s><s> Bundesrepublik Deutschland, absteigende technische und wissenschaftliche Mittelmacht, Anerkennung von","Kiezdeutsch",", erpreßte traditionsfeindliche Reformschreibung: Jahr 2018; 357.386 km2, 83 Millionen Einwohner: 232 Einw./km2"
"uni-potsdam.de,http://www.sfb632.uni-potsdam.de/de/aprojekte/t1/actt1.html,Aktivitäten T1,2020-06-10 19:42,2020,doc#1175709,#648598425","USRN-Symposion ""Die multimodale Stadt"" </s><s> Vortrag </s><s> Mayr, K.: ''Gestern isch war Ku''damm, heute bin ich in der Schule'' -","Kiezdeutsch",": Keene Bildung oder wat?! </s><s> Eingeladener Vortrag auf der Fachtagung der Kinder- und Jugendhilfe des Bundesverbandes"
"uni-potsdam.de,http://www.sfb632.uni-potsdam.de/de/aprojekte/t1/actt1.html,Aktivitäten T1,2020-06-10 19:42,2020,doc#1175709,#648598535","des Europäischen Parlaments, Berlin. </s><s> öffentlicher Vortrag (allgemeinbildend) </s><s> Wiese H.: Keine Angst vor","Kiezdeutsch","! </s><s> Ansichten und Einsichten zu einem neuen deutschen Dialekt. </s><s> Öffentlicher Vortrag (allgemeinbildend) in der Reihe """
"uni-potsdam.de,http://www.sfb632.uni-potsdam.de/de/aprojekte/t1/actt1.html,Aktivitäten T1,2020-06-10 19:42,2020,doc#1175709,#648598633","(allgemeinbildend), im Rahmen des Wedding Kulturfestivals, Analog Bar Berlin-Wedding. </s><s> Vortrag </s><s> Wiese H.: Lassma","Kiezdeutsch","machen, lan! </s><s> Wie ein neuer deutscher Dialekt entsteht – und warum trotzdem die Welt nicht untergeht Eingeladener"
"uni-potsdam.de,http://www.sfb632.uni-potsdam.de/en/press/press2010-12.html,Press Release 12/2010 &quot;Doppelte Halbsprachigkeit&quot;,2020-06-10 21:21,2020,doc#1202972,#663911854","Information im Satz kennzeichnen; etwas, das ich im Standarddeutschen nur durch Betonung verdeutlichen kann. </s><s> In","Kiezdeutsch","eröffnen Sätze wie ""Danach ich fahre zu meinem Vater. </s><s> "" eine zusätzliche Möglichkeit, Informationen zu verpacken,"
"uni-potsdam.de,http://www.sfb632.uni-potsdam.de/en/press/press2010-12.html,Press Release 12/2010 &quot;Doppelte Halbsprachigkeit&quot;,2020-06-10 21:21,2020,doc#1202972,#663911943","sie schon einmal auf früheren Sprachstufen. </s><s> Im Laufe der Sprachgeschichte ist sie verloren gegangen und lebt nun in","Kiezdeutsch","wieder auf. </s><s> Die Kompetenz in der Standardsprache soll nach wie vor ein schulisches Ziel bleiben. </s><s> Dies zwingt aber"
"peterlang.com,https://www.peterlang.com/view/title/16868,Jugendsprachen,2020-06-10 23:02,2020,doc#1224029,#674415795","Höchstniveau. </s><s> Kommentare </s><s> Hinweis </s><s> Stilisierungen, Identitäten, mediale Ressourcen </s><s> Sprachverhalten – von","Kiezdeutsch","bis zur Schreibstilistik von Mädchen auf Internetplattformen – gerät in diesem Beitrag zur Jugendsprachforschung"
"youtube.com,https://www.youtube.com/watch?v=n3zXbfiVZ7o,Sprache - Wandel & Varietäten - Zusammenfassung für das Abitur Themenfeld &quot;Sprache - Medien - Lesen&quot; - YouTube,2020-06-11 05:56,2020,doc#1322029,#723930356","arabischer und türkischer Wörter in den Sprachgebrauch nennt man ""Kanak Sprak"", Türkenslang, Türkendeutsch oder","Kiezdeutsch",". </s><s> Genitiv weglassen und Konjunktiv, Konjugationen etc. ignorieren sowie Regelbruch trägt ebenfalls dazu bei. </s><s> ZUM"
"exlibris.ch,https://www.exlibris.ch/de/buecher-buch/e-books-deutsch/heike-wiese/kiezdeutsch/id/9783406630354,Kiezdeutsch - Heike Wiese - Deutsche E-Books | Ex Libris,2020-06-11 05:56,2020,doc#1322122,#723967197",", bin jedoch kein Fachmann. </s><s> Kann Ihnen nur empfehlen einen Fachmann diesbezüglich zu kontaktieren. </s><s>","Kiezdeutsch","</s><s> ''Wunderbar, das Deutsche. </s><s> Wie es immer neue Varianten entwickelt und neue Wörter wie lassma oder ischwör. </s><s> Oder wie ..."
"exlibris.ch,https://www.exlibris.ch/de/buecher-buch/e-books-deutsch/heike-wiese/kiezdeutsch/id/9783406630354,Kiezdeutsch - Heike Wiese - Deutsche E-Books | Ex Libris,2020-06-11 05:56,2020,doc#1322122,#723967264","lassma oder ischwör. </s><s> Oder wie dort das Wörtchen so auf ganz neue Weise eingesetzt wird: Die ist so blond so. </s><s> '' Axel Hacke","Kiezdeutsch","ist keine ''Kanak Sprak'', kein Anzeichen mangelnder Integration und auch keine Gefahr für das Deutsche, sondern ein"
"deutschlandfunk.de,https://www.deutschlandfunk.de/zur-lage-der-deutschen-sprache-dialekte-jugendsprache.1148.de.html?dram:article_id=401491,Zur Lage der deutschen Sprache - Dialekte, Jugendsprache, Hochdeutsch (Archiv),2020-06-11 08:03,2020,doc#1347634,#736503519","Sprachgebrauch sei das, der allenfalls einige wenige Nutzer betrifft. </s><s> Gleiches gilt für das sogenannte","Kiezdeutsch",", bei dem mit Vorliebe Präpositionen wegfallen: ""Ich mach Dich Messer"", oder ""Ich steh rote Ampel"". </s><s> Wichtiger ist für"
"blogspot.com,http://juttas-schreibtipps.blogspot.com/2012/08,Juttas Schreibtipps: August 2012,2020-06-11 08:05,2020,doc#1351737,#738562352","Wörtern und gelungenen Formulierungen begeistert, aber auch von der Freude an Trends und Moden wie Jugendsprache und","Kiezdeutsch",", am Dialekt und Jargon sowie am Spiel mit der Sprache und am Sprachwitz. </s><s> Lesen Sie also alles, was Ihnen in die Finger"
"spiegel.de,https://www.spiegel.de/wissenschaft/mensch/jugendsprache-was-guckst-du-bin-isch-kino-a-556366.html,Jugendsprache: &quot;Was guckst du, bin isch Kino?&quot; - DER SPIEGEL,2020-06-11 17:11,2020,doc#1461890,#793299198","die Information nicht zentral ist, wird weggelassen </s><s> Heute gruseln sich Sprachbewahrer, wenn ihnen das sogenannte","Kiezdeutsch","zu Ohren kommt, die derzeit wohl ungewöhnlichste Art von Jugendsprache. </s><s> Sie ist in Migrantenvierteln wie"
"spiegel.de,https://www.spiegel.de/wissenschaft/mensch/jugendsprache-was-guckst-du-bin-isch-kino-a-556366.html,Jugendsprache: &quot;Was guckst du, bin isch Kino?&quot; - DER SPIEGEL,2020-06-11 17:11,2020,doc#1461890,#793299282","Töchter eines Tages auch ""krass sprechen"", wie die Jugendlichen ihren Slang nennen. </s><s> Wiese würde das nicht wundern: ""","Kiezdeutsch","wird in ethnisch gemischten Gruppen auch von Jugendlichen deutscher Herkunft benutzt. </s><s> "" </s><s> Typisch für diese neuen"
"spiegel.de,https://www.spiegel.de/wissenschaft/mensch/jugendsprache-was-guckst-du-bin-isch-kino-a-556366.html,Jugendsprache: &quot;Was guckst du, bin isch Kino?&quot; - DER SPIEGEL,2020-06-11 17:11,2020,doc#1461890,#793299554","dies nicht die einzige Varietät des Deutschen ist, die sie beherrschen"", sagt Wiese. </s><s> Sie empfiehlt daher Lehrern,","Kiezdeutsch","zum Unterrichtsthema zu machen. </s><s> ""Wenn ihr Sprachgebrauch ernst genommen wird, sind Jugendliche eher bereit, sich"
