lfd,participant,tnid,gilt,group,itemid,regionid,target,elapsedtime,timeinterval,wds,twdcoef,wdtcoef,proct,string,setname,tag1,tag2,explique
23,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,SM,SM2,SM2_fixation,-9,39187,470,1,470,"2,12765957446809",3440,X,all,RUB,2SM,
24,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,SM,SM2,SM2_0,-9,41002,1815,6,"302,5","3,30578512396694",2214,John war im Büro grenzenlos ehrgeizig.,all,RUB,2SM,
25,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,SM,SM2,SM2_1,-9,41899,897,7,"128,142857142857","7,80379041248606",938," Alles, was er bei der Arbeit tat,",all,RUB,2SM,
26,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,SM,SM2,SM2_2,-9,42161,262,4,"65,5","15,2671755725191",479," war Teil einer Strategie,",all,RUB,2SM,
27,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,SM,SM2,SM2_3,-9,42451,290,6,"48,3333333333333","20,6896551724138",354, um eine weitere Beförderung zu bekommen.,all,RUB,2SM,
28,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,SM,SM2,SM2_4,-9,42678,227,4,"56,75","17,6211453744493",415, Er war sehr wettbewerbsorientiert,all,RUB,2SM,
29,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,SM,SM2,SM2_5,-1,42922,244,3,"81,3333333333333","12,2950819672131",595," und erwartete immer,",all,RUB,2SM,
30,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,SM,SM2,SM2_6,0,43162,240,7,"34,2857142857143","29,1666666666667",251, dass von der Tribüne stehende Ovationen kamen.,all,RUB,2SM,
31,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,SM,SM2,SM2_7,1,43452,290,7,"41,4285714285714","24,1379310344828",303," Sein Chef war mit Johns Arbeit zufrieden,",all,RUB,2SM,
32,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,SM,SM2,SM2_8,-9,43950,498,7,"71,1428571428571","14,0562248995984",521, aber seine Kollegen waren seinen Ehrgeiz leid.,all,RUB,2SM,
33,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem20,09Fillerem20_fixation,-9,44419,469,1,469,"2,13219616204691",3433,X,all,NA,NA,
34,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem20,09Fillerem20_0,-9,45085,666,8,"83,25","12,012012012012",609,"Eigentlich sollten die Figuren im Regal dafür sorgen,",all,NA,NA,
35,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem20,09Fillerem20_1,-9,45398,313,16,"19,5625","51,1182108626198",143,"dass Erna stets alle Hände voll zu tun hatte, wenn sie staubwedelnd durch die Wohnung fegte.",all,NA,NA,
36,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem20,09Fillerem20_2,-9,45637,239,7,"34,1428571428571","29,2887029288703",250," Die Putzfee hatte jedoch ein Geistesblitz ereilt,",all,NA,NA,
37,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem20,09Fillerem20_3,-9,45871,234,12,"19,5","51,2820512820513",143, als sie einmal zufällig lange genug vor einem der Staubfänger verweilt war.,all,NA,NA,
38,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem20,09Fillerem20_4,-9,46120,249,6,"41,5","24,0963855421687",304, Man musste bei manchem Reinigungsakt einfach,all,NA,NA,
39,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem20,09Fillerem20_5,-9,46377,257,3,"85,6666666666667","11,6731517509728",627," ein Auge zudrücken,",all,NA,NA,
40,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem20,09Fillerem20_6,-9,46639,262,8,"32,75","30,5343511450382",240, dann säuberten sich die Regale wie von selbst.,all,NA,NA,
41,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem20,09Fillerem20_7,-9,46950,311,8,"38,875","25,7234726688103",285, Ihre Kinder waren ohnehin blind für den Schmutz.,all,NA,NA,
42,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem22,09Fillerem22_fixation,-9,47482,532,1,532,"1,8796992481203",3894,X,all,NA,NA,
43,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem22,09Fillerem22_0,-9,48221,739,9,"82,1111111111111","12,1786197564276",601,Anna und Luisa waren ein Herz und eine Seele.,all,NA,NA,
44,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem22,09Fillerem22_1,-9,48641,420,9,"46,6666666666667","21,4285714285714",342," Lange Zeit steuerten sie gemeinsam durch dick und dünn,",all,NA,NA,
45,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem22,09Fillerem22_2,-9,48964,323,7,"46,1428571428571","21,671826625387",338, bis sie eines Tages vom Kurs abkamen ,all,NA,NA,
46,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem22,09Fillerem22_3,-9,49417,453,3,151,"6,62251655629139",1105,und ihre Freundschaft ,all,NA,NA,
47,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem22,09Fillerem22_4,-9,49820,403,4,"100,75","9,92555831265509",737, den Bach runter ging. ,all,NA,NA,
48,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem01,09Fillerem01_fixation,-9,50272,452,1,452,"2,21238938053097",3309,X,all,NA,NA,
49,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem01,09Fillerem01_0,-9,50832,560,7,80,"12,5",586,"Nach Martas Meinung war Depression eine Kröte,",all,NA,NA,
50,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem01,09Fillerem01_1,-9,51139,307,7,"43,8571428571429","22,8013029315961",321," die schmierig auf deinem Kopf hocken konnte,",all,NA,NA,
51,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem01,09Fillerem01_2,-9,51383,244,6,"40,6666666666667","24,5901639344262",298, bis sie endlich doch noch herunterrutschte.,all,NA,NA,
52,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem01,09Fillerem01_3,-9,51600,217,12,"18,0833333333333","55,2995391705069",132," Die Traurigkeit aber, in der sie die letzten zehn Tage verbracht hatte,",all,NA,NA,
53,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem01,09Fillerem01_4,-9,51834,234,3,78,"12,8205128205128",571, war eine andere.,all,NA,NA,
54,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem01,09Fillerem01_5,-9,52072,238,3,"79,3333333333333","12,6050420168067",581, Hektisch und aggressiv.,all,NA,NA,
55,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem01,09Fillerem01_6,-9,52272,200,3,"66,6666666666667",15,488, Mit scharfen Krallen.,all,NA,NA,
56,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem01,09Fillerem01_7,-9,52545,273,6,"45,5","21,978021978022",333," Sie hatte nicht auf Marta gesessen,",all,NA,NA,
57,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem01,09Fillerem01_8,-9,52913,368,4,92,"10,8695652173913",673, sondern sie richtig überfallen.,all,NA,NA,
58,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerlc23,09Fillerlc23_fixation,-9,53400,487,1,487,"2,05338809034908",3565,X,all,NA,NA,
59,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerlc23,09Fillerlc23_0,-9,53949,549,4,"137,25","7,28597449908925",1005,Endlich war es da ,all,NA,NA,
60,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerlc23,09Fillerlc23_1,-9,54277,328,6,"54,6666666666667","18,2926829268293",400,- das lang ersehnte Wochenende im Vergnügungspark.,all,NA,NA,
61,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerlc23,09Fillerlc23_2,-9,54533,256,14,"18,2857142857143","54,6875",134, Tom und seine FreundInnen reihten sich wieder und wieder in die Schlangen der Wartenden. ,all,NA,NA,
62,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerlc23,09Fillerlc23_3,-9,54851,318,6,53,"18,8679245283019",388, Sie ließen keines der Fahrgeschäfte aus. ,all,NA,NA,
63,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerlc23,09Fillerlc23_4,-9,55096,245,8,"30,625","32,6530612244898",224, Ihr Highlight war ein Ritt auf der Achterbahn.,all,NA,NA,
64,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,SM,SM11,SM11_fixation,-9,55650,554,1,554,"1,80505415162455",4055,X,all,RUB,11SM,
65,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,SM,SM11,SM11_0,-9,57098,1448,15,"96,5333333333333","10,3591160220994",707,"Petra besuchte letzte Woche ihr Lieblingsmuseum, in dem sie schon lange nicht mehr gewesen war.",all,RUB,11SM,
66,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,SM,SM11,SM11_1,-1,61175,4077,22,"185,318181818182","5,39612460142261",1357," Sie verbrachte Stunden damit, sich die Bilder, Kunstwerke, Ausstellungstücke und Info-Texte durchzulesen und alles in Erfahrung zu bringen, was sie konnte.",all,RUB,11SM,
67,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,SM,SM11,SM11_2,0,62105,930,5,186,"5,37634408602151",1362, Es war ein heftiger Rausch.,all,RUB,11SM,
68,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,SM,SM11,SM11_3,1,65056,2951,20,"147,55","6,77736360555744",1080," Petra vergaß schnell die Zeit und wurde fast im Museum eingeschlossen, doch der Hausmeister bemerkte sie zum Glück noch rechtzeitig.",all,RUB,11SM,
69,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,EM,EM10,EM10_fixation,-9,65468,412,1,412,"2,42718446601942",3016,X,all,RUB,10EM,
70,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,EM,EM10,EM10_0,-9,66259,791,12,"65,9166666666667","15,1706700379267",483,Merve ist seit kurzem verliebt und nur noch auf fernen Planeten anzutreffen.,all,RUB,10EM,
71,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,EM,EM10,EM10_1,-9,66639,380,9,"42,2222222222222","23,6842105263158",309, Es geschah ohne Countdown ziemlich schnell vor zwei Wochen.,all,RUB,10EM,
72,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,EM,EM10,EM10_2,-9,66886,247,15,"16,4666666666667","60,7287449392713",121,"Sie sagt, dass es etwa 3 Sekunden dauerte und schon hatte sie die Umlaufbahn verlassen.",all,RUB,10EM,
73,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,EM,EM10,EM10_3,0,67223,337,5,"67,4","14,8367952522255",493, Sie schwebte durch den Raum.,all,RUB,10EM,
74,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,EM,EM10,EM10_4,1,67587,364,11,"33,0909090909091","30,2197802197802",242, Seither ist um sie herum alles wie voller Sternenstaub und Glitzer.,all,RUB,10EM,
75,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,EM,EM10,EM10_5,-9,67942,355,26,"13,6538461538462","73,2394366197183",100," Dennoch hat Merve ein wenig Angst, was sie von Zeit zu Zeit doch dazu zwingt, auf dem Planeten zu landen, um sich ein wenig zu erden.",all,RUB,10EM,
76,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem17,09Fillerem17_fixation,-9,68486,544,1,544,"1,83823529411765",3982,X,all,NA,NA,
77,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem17,09Fillerem17_0,-9,68990,504,10,"50,4","19,8412698412698",369,Esra wollte ihren ehemaligen Arbeitgeber vor Gericht in Frikassee verwandeln.,all,NA,NA,
78,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem17,09Fillerem17_1,-9,69375,385,17,"22,6470588235294","44,1558441558442",166," Doch sie wusste nicht, dass die Firma sich von einem der gefährlichsten Raubtiere im Meer vertreten ließ.",all,NA,NA,
79,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem17,09Fillerem17_2,-9,69598,223,9,"24,7777777777778","40,3587443946188",181, Keines seiner Opfer war je von ihm verschont worden.,all,NA,NA,
80,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem17,09Fillerem17_3,-9,70016,418,5,"83,6","11,9617224880383",612, Der Anwalt war ein Hai.,all,NA,NA,
81,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem17,09Fillerem17_4,-9,70386,370,15,"24,6666666666667","40,5405405405405",181," Wen er zwischen die Zähne bekam, der konnte damit rechnen, im Gerichtssaal zerfetzt zu werden.",all,NA,NA,
82,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem04,09Fillerem04_fixation,-9,70849,463,1,463,"2,15982721382289",3389,X,all,NA,NA,
83,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem04,09Fillerem04_0,-9,71251,402,5,"80,4","12,4378109452736",589,"Wenn Ginas Büroangestellte kooperativ waren,",all,NA,NA,
84,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem04,09Fillerem04_1,-9,71659,408,6,68,"14,7058823529412",498, konnten sie großartige Dinge zusammen erreichen.,all,NA,NA,
85,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem04,09Fillerem04_2,-9,71881,222,7,"31,7142857142857","31,5315315315315",232, Sie waren ein Chor in perfekter Harmonie;,all,NA,NA,
86,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem04,09Fillerem04_3,-9,72109,228,5,"45,6","21,9298245614035",334, die zarten Töne des Soprans,all,NA,NA,
87,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem04,09Fillerem04_4,-9,72332,223,10,"22,3","44,8430493273543",163, fügten sich perfekt ein in das mächtige Donnern der Bässe.,all,NA,NA,
88,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem04,09Fillerem04_5,-9,72537,205,6,"34,1666666666667","29,2682926829268",250, Nach der Performance musste Gina lediglich,all,NA,NA,
89,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem04,09Fillerem04_6,-9,72734,197,10,"19,7","50,761421319797",144," die Blumensträuße aufheben, die man auf die Bühne geworfen hatte.",all,NA,NA,
90,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem04,09Fillerem04_7,-9,72941,207,5,"41,4","24,1545893719807",303," Wenn sie jedoch unkooperativ waren,",all,NA,NA,
91,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerem04,09Fillerem04_8,-9,73175,234,10,"23,4","42,7350427350427",171, war die sich ergebende Kakophonie ein Angriff auf die Sinne.,all,NA,NA,
92,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerlc13,09Fillerlc13_fixation,-9,73617,442,1,442,"2,26244343891403",3235,X,all,NA,NA,
93,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerlc13,09Fillerlc13_0,-9,74030,413,7,59,"16,9491525423729",432,Peter kaufte sich vor kurzem eine Ukulele.,all,NA,NA,
94,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerlc13,09Fillerlc13_1,-9,74415,385,12,"32,0833333333333","31,1688311688312",235," Es war schon immer sein Wunsch gewesen, noch ein Instrument zu lernen.",all,NA,NA,
95,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerlc13,09Fillerlc13_2,-9,74615,200,6,"33,3333333333333",30,244, Sogar den Nachbarn gefiel die Idee.,all,NA,NA,
96,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerlc13,09Fillerlc13_3,-9,74843,228,16,"14,25","70,1754385964912",104, Er verbrachte ohne Mühe viel Zeit beim Spielen und der Klang im Wohnzimmer war sehr gut.,all,NA,NA,
97,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerlc13,09Fillerlc13_4,-9,75055,212,5,"42,4","23,5849056603774",310, Dieses hatte eine tolle Resonanz.,all,NA,NA,
98,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerlc13,09Fillerlc13_5,-9,75271,216,12,18,"55,5555555555556",132," Seither veranstaltet er kleine Konzerte, was den Zusammenhalt unter den Nachbarn stärkt.",all,NA,NA,
99,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,ZFIL,09Fillerlc13,09Fillerlc13_6,-9,75481,210,11,"19,0909090909091","52,3809523809524",140, Die Ukulele hat Peter zu ganz neuen Ausdrucksmöglichkeiten und FreundInnen verholfen.,all,NA,NA,
100,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,LC,LC5,LC5_fixation,-9,76002,521,1,521,"1,91938579654511",3814,X,all,RUB,5LC,
101,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,LC,LC5,LC5_0,-9,76393,391,10,"39,1","25,5754475703325",286,Die Führungskräfte des Unternehmens waren sehr besorgt über die Stromversorgung.,all,RUB,5LC,
102,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,LC,LC5,LC5_1,-1,76801,408,12,34,"29,4117647058824",249," Alle Daten im Netzwerk waren auf Servern gespeichert, die ständig laufen mussten.",all,RUB,5LC,
103,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,LC,LC5,LC5_2,0,77033,232,11,"21,0909090909091","47,4137931034483",154, In den vorangegangenen Wochen war es jedoch gelegentlich zu Stromausfällen gekommen.,all,RUB,5LC,
104,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,LC,LC5,LC5_3,1,77273,240,13,"18,4615384615385","54,1666666666667",135," Schließlich begann das Unternehmen zu überlegen, ob in Backup-Generatoren investiert werden sollte.",all,RUB,5LC,
105,Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit),1,0,MM,MM6,MM6_fixation,-9,77698,425,1,425,"2,35294117647059",3111,X,all,RUB,6MM,
